"CAPKO_1" "CAPKO_2" "CAPKO_3" "CAPKO_4" "CAPKO_5" "WT_1" "WT_2" "WT_3" "WT_4" "WT_5"
"PBANKA_0214600" 2437 935 848 2072 343 4142 5259 4979 3663 3225
"PBANKA_0214700" 2395 796 1021 2883 193 7760 8057 9052 6992 4504
"PBANKA_0214800" 3107 1448 1161 2288 440 6103 5934 6478 10050 6921
"PBANKA_0214900" 298 125 102 258 53 514 515 809 881 914
"PBANKA_0214951" 84 51 58 81 2 254 263 363 252 260
"PBANKA_0215700" 49 25 5 133 9 16 32 19 136 34
"PBANKA_0215800" 10 1 1 7 0 850 935 1018 1057 947
"PBANKA_0216000" 0 0 0 2 0 14 27 26 55 79
"PBANKA_0216721" 0 0 0 3 0 7 6 2 10 10
"PBANKA_0300100" 1 0 0 0 0 5 24 39 14 11
"PBANKA_0300200" 8 2 4 16 5 24 15 211 513 44
"PBANKA_0300300" 21 18 23 75 7 68 79 101 339 56
"PBANKA_0300600" 12355 5414 3994 8074 2880 24735 21265 22986 24017 22573
"PBANKA_0300700" 261 110 74 245 14 412 423 444 324 257
"PBANKA_0300800" 128 31 47 102 19 211 184 263 232 314
"PBANKA_0300900" 43 19 30 75 3 204 203 269 189 142
"PBANKA_0301000" 445 103 111 388 37 743 790 472 275 169
"PBANKA_0301100" 196 68 81 213 20 537 680 842 578 334
"PBANKA_0301200" 65 52 26 123 9 222 156 321 283 344
"PBANKA_0301300" 1127 684 429 845 314 1217 1279 1517 1918 3915
"PBANKA_0301400" 164 65 34 156 42 293 304 374 255 311
"PBANKA_0301500" 786 234 236 528 135 1317 1333 1158 1116 617
"PBANKA_0301600" 3653 1306 717 2192 437 203 432 509 477 621
"PBANKA_0301700" 162 72 82 181 27 307 251 371 284 300
"PBANKA_0301800" 48 40 35 53 4 25 17 39 48 25
"PBANKA_0301900" 290 97 70 227 20 711 799 757 422 218
"PBANKA_0302000" 498 225 210 449 70 1391 1520 2119 2239 1832
"PBANKA_0302100" 104 36 28 66 9 190 284 309 125 96
"PBANKA_0302200" 88 13 16 93 2 139 116 218 131 109
"PBANKA_0302300" 227 105 116 363 28 302 410 454 424 193
"PBANKA_0302400" 41 10 18 96 3 110 126 137 59 17
"PBANKA_0302500" 4587 2138 1992 4149 886 9230 8831 9361 9604 9731
"PBANKA_0302600" 148 72 76 252 9 207 220 272 229 177
"PBANKA_0302700" 54 26 40 91 10 239 249 276 164 114
"PBANKA_0302800" 289 112 125 190 61 431 385 319 319 377
"PBANKA_0302900" 26 21 12 27 7 0 0 2 2 5
"PBANKA_0303000" 8 10 3 17 1 2 4 6 3 1
"PBANKA_0303100" 149 66 88 284 26 626 593 816 554 460
"PBANKA_0303200" 668 289 252 487 146 1424 1240 1701 1863 2431
"PBANKA_0303300" 181 63 93 194 14 605 538 684 596 445
"PBANKA_0303400" 166 59 59 275 12 503 516 859 755 819
"PBANKA_0303500" 236 109 74 167 38 293 328 389 434 460
"PBANKA_0303600" 8479 3416 2952 6136 1626 13902 13308 15400 14923 20564
"PBANKA_0303700" 1165 323 298 1039 102 2188 2170 1915 1076 766
"PBANKA_0303800" 168 105 58 167 50 472 407 497 643 1048
"PBANKA_0303900" 372 169 134 349 83 482 439 607 517 496
"PBANKA_0304000" 98 56 44 130 13 269 235 275 199 206
"PBANKA_0304100" 256 79 53 197 29 144 185 89 107 97
"PBANKA_0304200" 120 60 65 144 18 316 251 368 356 255
"PBANKA_0304300" 346 112 162 422 50 393 411 395 389 236
"PBANKA_0304400" 591 254 186 478 151 1088 1061 1756 2460 3682
"PBANKA_0304500" 275 68 77 223 18 636 629 743 469 376
"PBANKA_0304600" 17 9 14 68 0 60 64 89 65 31
"PBANKA_0304700" 4 3 8 10 5 10 16 6 21 11
"PBANKA_0304800" 700 187 198 544 91 1559 2487 3821 2556 2770
"PBANKA_0304900" 9816 3608 3143 7011 1908 24877 20678 22239 25550 27216
"PBANKA_0305000" 897 273 306 671 168 3991 3961 11691 13324 8393
"PBANKA_0305100" 2591 746 579 1341 443 9910 13063 28071 26208 31054
"PBANKA_0305200" 502 118 99 349 74 864 1032 1190 576 574
"PBANKA_0305300" 156 58 82 232 5 257 296 313 394 164
"PBANKA_0305400" 109 36 55 143 6 346 396 472 270 123
"PBANKA_0305500" 36 23 22 77 7 116 137 156 90 45
"PBANKA_0305600" 138 48 72 175 20 216 233 384 297 331
"PBANKA_0305700" 52 31 27 68 7 145 145 244 143 158
"PBANKA_0305800" 317 151 156 442 27 728 743 964 715 746
"PBANKA_0305900" 149 44 61 122 31 328 411 631 564 703
"PBANKA_0306000" 261 104 47 166 31 413 463 395 102 57
"PBANKA_0306100" 113 39 11 96 14 43 46 21 24 9
"PBANKA_0306200" 1382 588 476 1081 188 3254 2856 2859 3281 2760
"PBANKA_0306300" 856 354 364 776 167 2135 2063 2489 2628 3298
"PBANKA_0306400" 163 67 102 241 12 461 456 587 546 371
"PBANKA_0306500" 836 389 330 661 189 1577 1435 1581 1805 2370
"PBANKA_0306600" 50 20 10 71 6 7 4 27 27 16
"PBANKA_0306700" 47 11 14 26 1 110 161 416 410 267
"PBANKA_0306800" 9548 4216 3949 7840 1709 18296 17982 18823 20927 20041
"PBANKA_0306900" 1355 672 513 1289 270 2175 2175 2718 3141 4244
"PBANKA_0307000" 6636 3382 3006 5611 1153 9088 10095 10205 15495 13466
"PBANKA_0307100" 908 287 230 653 86 2173 2404 2343 1262 1251
"PBANKA_0307200" 314 114 107 232 42 561 552 644 606 868
