"CAPKO_1" "CAPKO_2" "CAPKO_3" "CAPKO_4" "CAPKO_5" "WT_1" "WT_2" "WT_3" "WT_4" "WT_5"
"PBANKA_1103600" 206 82 86 224 18 563 953 899 404 299
"PBANKA_1103700" 61 44 21 63 12 94 89 114 160 125
"PBANKA_1103800" 128 50 59 126 14 202 234 252 349 283
"PBANKA_1103900" 132 48 74 121 13 295 291 452 312 473
"PBANKA_1104000" 274 84 92 257 38 530 459 368 379 314
"PBANKA_1104100" 1229 452 285 933 107 52 174 205 162 166
"PBANKA_1104200" 1448 507 502 871 248 2767 2525 3251 3195 7144
"PBANKA_1104300" 516 233 223 443 80 1423 1441 1698 1947 1445
"PBANKA_1104400" 139 56 50 166 14 369 432 510 402 246
"PBANKA_1104500" 228 84 60 170 36 220 261 476 571 683
"PBANKA_1104600" 138 41 44 161 7 370 442 388 330 151
"PBANKA_1104700" 207 68 54 173 17 734 900 692 258 183
"PBANKA_1104800" 360 137 144 463 43 786 911 1040 847 684
"PBANKA_1104900" 65 26 26 95 3 216 189 293 309 217
"PBANKA_1105000" 266 80 78 316 18 703 829 864 385 270
"PBANKA_1105100" 446 127 112 328 44 984 1138 1376 920 841
"PBANKA_1105200" 101 32 41 129 5 293 265 421 269 173
"PBANKA_1105300" 26 4 9 14 1 41 35 39 57 34
"PBANKA_1105400" 1237 626 540 1033 220 2681 2721 3304 4235 4734
"PBANKA_1105500" 509 312 244 625 121 1479 1259 1587 1757 1656
"PBANKA_1105600" 42 8 16 70 6 120 179 187 130 90
"PBANKA_1105700" 612 271 212 444 123 910 956 1008 1530 1359
"PBANKA_1105800" 269 102 120 252 47 570 517 670 824 653
"PBANKA_1105900" 95 27 63 127 16 291 278 356 305 269
"PBANKA_1106000" 668 252 150 479 62 22 97 110 71 72
"PBANKA_1106100" 293 80 50 294 28 534 453 431 154 181
"PBANKA_1106200" 66 28 18 41 15 120 125 184 155 273
"PBANKA_1106300" 129 45 40 107 10 194 203 378 273 396
"PBANKA_1106400" 543 161 215 576 68 1248 1233 1370 1010 595
"PBANKA_1106500" 2483 780 526 1589 181 976 1384 2200 2047 2150
"PBANKA_1106600" 131 49 85 144 9 418 422 605 413 570
"PBANKA_1106700" 20380 8614 9454 19051 3095 32242 33596 33534 37642 24359
"PBANKA_1106800" 209 88 105 247 18 273 340 434 433 339
"PBANKA_1106900" 4 0 0 0 2 2 2 1 9 2
"PBANKA_1107000" 4 3 5 9 0 5 5 10 11 17
"PBANKA_1107100" 265 112 126 254 26 376 407 605 748 1021
"PBANKA_1107200" 1019 341 343 907 199 2818 2246 2489 2505 2325
"PBANKA_1107300" 554 196 205 502 90 1525 1391 1425 1107 1193
"PBANKA_1107400" 1662 528 532 1326 180 3588 3965 3632 2861 1793
"PBANKA_1107500" 180 93 107 220 50 553 497 833 788 1028
"PBANKA_1107600" 76 34 15 62 7 129 201 616 800 732
"PBANKA_1107700" 103 28 10 66 5 264 340 739 429 420
"PBANKA_1107800" 587 230 236 432 77 677 728 932 920 1165
"PBANKA_1107900" 573 228 198 477 73 889 939 1339 1127 1530
"PBANKA_1108100" 132 35 28 109 11 303 311 376 176 67
"PBANKA_1108200" 227 100 113 214 29 396 400 560 559 442
"PBANKA_1108300" 1804 529 431 1283 186 3080 3162 2091 1077 672
"PBANKA_1108400" 559 234 248 405 110 1656 1412 1991 1854 2527
"PBANKA_1108500" 1267 321 188 655 123 803 771 440 412 215
"PBANKA_1108600" 862 315 281 737 157 1698 1523 2073 2291 2942
"PBANKA_1108700" 828 233 129 476 93 932 1253 960 436 358
"PBANKA_1108800" 51 22 19 36 2 134 110 120 54 83
"PBANKA_1108900" 161 90 98 251 24 533 438 615 573 524
"PBANKA_1109000" 3491 1011 798 2639 447 6850 7561 5183 3302 1960
"PBANKA_1109100" 42 11 23 38 7 110 160 257 257 333
"PBANKA_1109200" 225 76 109 315 21 498 509 581 386 357
"PBANKA_1109300" 1390 536 400 1110 113 173 282 288 303 207
"PBANKA_1109400" 1013 246 206 748 72 2282 2504 2062 890 676
"PBANKA_1109500" 90 34 33 86 14 287 281 253 310 294
"PBANKA_1109600" 137 109 56 176 7 33 32 39 37 51
"PBANKA_1109700" 800 160 127 596 43 1529 1910 1747 833 727
"PBANKA_1109800" 370 119 173 345 65 795 795 741 682 503
"PBANKA_1109900" 411 216 124 298 68 102 96 161 162 123
"PBANKA_1110000" 43 31 34 83 5 127 134 138 125 109
"PBANKA_1110100" 343 99 103 326 31 885 994 1043 629 544
"PBANKA_1110200" 604 222 167 507 43 322 309 324 321 165
"PBANKA_1110300" 192 96 46 185 20 207 280 256 186 97
"PBANKA_1110500" 4133 2005 2027 3494 820 7169 6910 7923 10719 12764
"PBANKA_1110600" 68 18 15 77 3 15 22 18 13 14
"PBANKA_1110700" 367 172 140 408 45 146 278 314 306 336
"PBANKA_1110800" 203 72 78 260 10 766 862 799 569 329
"PBANKA_1110900" 18 2 3 19 0 19 22 16 20 11
"PBANKA_1111000" 2266 539 484 1601 181 3286 3792 2104 1156 540
"PBANKA_1111200" 10 3 4 9 0 19 25 22 15 2
"PBANKA_1111300" 61 54 44 88 19 222 207 226 206 183
"PBANKA_1111400" 1236 621 694 1604 152 2213 2487 2646 2276 1652
"PBANKA_1111500" 3 0 1 7 0 17 22 13 16 7
"PBANKA_1111600" 363 147 166 454 58 1091 973 1229 1178 918
"PBANKA_1111700" 158 67 46 138 33 422 394 480 456 391
"PBANKA_1111800" 187 86 97 273 23 427 541 613 463 192
"PBANKA_1111900" 137 66 50 194 23 390 341 391 464 317
"PBANKA_1112000" 0 0 1 4 0 9 8 32 8 11
"PBANKA_1112100" 103 30 24 72 10 190 204 247 237 305
"PBANKA_1112200" 151 57 69 149 8 413 473 537 310 307
"PBANKA_1112300" 1701 752 753 1523 313 4953 4538 5709 6207 6801
"PBANKA_1112400" 27 15 34 36 4 55 181 131 84 38
"PBANKA_1112500" 46 27 24 68 3 146 143 182 114 91
"PBANKA_1112600" 249 139 109 299 52 542 545 641 598 696
"PBANKA_1112700" 61 38 33 114 7 38 80 71 36 41
"PBANKA_1112800" 248 96 99 194 37 485 456 778 926 760
"PBANKA_1112900" 106 45 32 117 9 315 296 345 263 165
"PBANKA_1113000" 24396 10796 9747 19680 5105 98695 68555 56698 119203 76838
"PBANKA_1113100" 230 138 132 236 38 500 516 550 571 457
"PBANKA_1113200" 17 6 36 78 0 106 121 161 96 39
"PBANKA_1113300" 242 62 46 166 21 484 756 1096 617 652
"PBANKA_1113400" 503 312 177 738 78 52 142 135 125 184
"PBANKA_1113500" 1410 569 492 972 243 3053 2633 3679 3934 5481
"PBANKA_1113600" 65 30 28 117 8 143 200 273 167 106
"PBANKA_1113700" 140 80 44 137 23 107 71 153 121 81
"PBANKA_1113800" 85 24 19 87 6 110 142 159 115 84
"PBANKA_1113900" 288 85 97 377 29 631 596 743 546 397
"PBANKA_1114000" 42 23 28 70 1 114 159 258 127 83
"PBANKA_1114100" 605 216 130 360 66 14 65 74 68 75
"PBANKA_1114200" 695 245 229 620 68 528 590 604 646 574
"PBANKA_1114300" 80 25 19 78 4 71 113 178 83 75
"PBANKA_1114400" 388 103 104 382 44 751 686 747 760 421
"PBANKA_1114500" 48 38 18 49 6 126 175 185 167 145
"PBANKA_1114600" 876 351 317 848 128 1224 1190 1411 1310 1469
"PBANKA_1114700" 103 49 60 144 8 236 246 343 265 225
"PBANKA_1114800" 15 9 6 19 2 22 18 44 20 21
"PBANKA_1114900" 487 141 166 410 44 942 940 930 499 314
"PBANKA_1115000" 2182 571 408 1626 116 44 248 231 149 116
"PBANKA_1115100" 58 29 21 67 5 202 169 311 253 314
"PBANKA_1115200" 812 333 214 634 112 206 213 216 143 120
"PBANKA_1115300" 9731 3674 2215 6047 1049 680 1399 2445 3873 3599
"PBANKA_1115400" 194 126 70 126 36 329 325 289 443 413
"PBANKA_1115500" 598 246 292 604 88 1397 1471 1809 1495 1580
"PBANKA_1115600" 14 9 21 30 1 72 95 95 78 43
"PBANKA_1115700" 296 113 76 295 42 407 485 816 605 766
"PBANKA_1115800" 67 33 32 110 4 291 293 474 336 215
"PBANKA_1115900" 9 4 1 7 0 29 53 68 35 26
"PBANKA_1116000" 16 2 5 18 0 111 102 136 174 93
"PBANKA_1116100" 244 68 91 182 13 767 808 1166 684 655
"PBANKA_1116200" 80 40 76 173 10 235 297 453 352 295
"PBANKA_1116300" 459 193 181 412 56 1026 1057 1368 1041 1068
"PBANKA_1116400" 342 107 77 309 20 977 1117 908 428 286
"PBANKA_1116500" 1174 553 484 1113 243 2642 2403 2485 2935 2691
"PBANKA_1116700" 400 135 151 400 66 635 843 814 783 664
"PBANKA_1116800" 4476 1599 1948 5134 442 11321 12628 13883 10368 5918
"PBANKA_1116900" 251 122 98 261 45 572 531 997 1004 1384
"PBANKA_1117000" 3536 1596 1137 2389 749 9052 8604 13982 20042 31582
"PBANKA_1117100" 3788 1788 1459 2725 967 10485 8470 11387 15463 19180
"PBANKA_1117200" 7 2 2 18 0 51 78 92 90 21
"PBANKA_1117300" 195 69 82 235 24 404 397 473 475 337
"PBANKA_1117400" 438 197 324 620 57 1352 1732 1869 1857 898
"PBANKA_1117500" 5584 2724 2644 5122 1036 10474 10683 12248 14945 13526
"PBANKA_1117600" 91 26 52 85 11 150 145 192 163 139
"PBANKA_1117700" 1295 572 469 1085 183 2833 3078 4659 4690 9223
"PBANKA_1117800" 1062 504 405 884 273 2228 2063 2244 2964 3068
"PBANKA_1117900" 112 26 42 104 13 332 331 454 373 265
"PBANKA_1118000" 248 87 88 216 11 503 568 708 583 577
"PBANKA_1118200" 222 74 78 211 20 394 414 437 338 231
"PBANKA_1118300" 48 10 24 69 0 78 49 72 67 78
"PBANKA_1118400" 60 25 37 82 1 162 223 273 161 117
"PBANKA_1118500" 270 75 81 194 23 441 448 499 247 289
"PBANKA_1118600" 10005 4109 3662 7193 2154 15612 13172 14383 15126 20785
"PBANKA_1118700" 460 139 164 529 46 1503 1907 1911 1276 823
"PBANKA_1118800" 88 19 17 88 7 172 175 209 144 78
"PBANKA_1118900" 129 35 42 110 28 199 246 271 203 110
"PBANKA_1119000" 25 10 19 29 2 49 111 101 92 44
"PBANKA_1119100" 322 160 203 443 58 981 910 1329 1232 968
"PBANKA_1119200" 111 39 45 67 11 56 73 72 84 57
"PBANKA_1119300" 80 27 59 76 7 353 281 463 312 206
"PBANKA_1119400" 50 11 26 66 0 143 222 220 239 108
"PBANKA_1119500" 9 1 3 12 0 16 11 19 13 5
"PBANKA_1119600" 10 2 2 7 0 10 22 63 65 37
"PBANKA_1119700" 628 221 257 681 69 1655 1485 1976 1589 1363
"PBANKA_1119800" 4 2 2 7 0 5 15 11 5 0
"PBANKA_1119900" 29 5 4 19 0 23 43 46 45 44
"PBANKA_1120000" 112 31 52 128 13 365 466 388 339 141
"PBANKA_1120100" 194 82 71 285 31 202 392 700 464 328
"PBANKA_1120200" 614 296 258 529 128 862 868 827 1229 755
"PBANKA_1120300" 137 38 57 152 11 200 187 183 199 36
"PBANKA_1120400" 5527 1695 1058 3550 476 123 428 395 389 386
"PBANKA_1120500" 37 29 49 60 3 179 175 225 159 157
"PBANKA_1120600" 370 124 127 300 48 935 988 1090 737 359
"PBANKA_1120700" 6767 3403 3020 5445 1248 10716 9816 11243 15446 13267
"PBANKA_1120800" 433 188 191 504 67 1557 1768 1752 1190 733
"PBANKA_1120900" 90 56 37 84 18 251 230 306 247 292
"PBANKA_1121000" 255 60 38 143 13 57 63 75 47 46
"PBANKA_1121100" 690 212 239 570 58 1399 1346 1425 1276 866
"PBANKA_1121200" 216 75 71 236 11 522 562 805 450 268
"PBANKA_1121300" 176 51 59 135 32 352 323 379 425 489
"PBANKA_1121400" 155 71 53 202 13 363 281 289 308 138
"PBANKA_1121500" 670 301 273 562 105 1309 1201 1577 1558 2664
"PBANKA_1121600" 130 40 47 135 15 329 354 560 413 341
"PBANKA_1121700" 1989 691 499 1355 194 4583 5351 4296 2481 1866
"PBANKA_1121800" 296 107 122 274 28 861 894 991 781 549
"PBANKA_1121900" 952 333 354 841 129 1696 1917 1911 1424 1513
"PBANKA_1122000" 2494 834 870 2249 393 6750 7020 7713 5419 4266
"PBANKA_1122100" 47 16 29 60 1 141 183 292 131 77
"PBANKA_1122200" 201 64 58 108 50 434 454 671 696 1403
"PBANKA_1122300" 113 60 28 118 14 343 271 295 236 303
"PBANKA_1122400" 488 174 152 357 77 827 799 1173 1067 1468
"PBANKA_1122500" 1069 384 354 1002 184 2032 1920 1913 1786 1361
"PBANKA_1122600" 283 92 151 261 23 1005 938 1145 765 516
"PBANKA_1122700" 737 192 230 888 62 2321 2827 2184 943 307
"PBANKA_1122800" 363 119 151 370 40 622 653 773 740 1076
"PBANKA_1122900" 11082 5293 4604 8596 2549 18372 16082 15813 21851 21049
"PBANKA_1123000" 170 52 141 232 28 468 446 582 439 389
"PBANKA_1123100" 116 73 56 146 27 239 305 426 401 434
"PBANKA_1123200" 437 150 128 281 63 71 129 225 174 242
"PBANKA_1123300" 251 70 105 289 30 527 517 547 390 340
"PBANKA_1123400" 80 41 26 59 29 163 165 173 249 535
"PBANKA_1123500" 4204 910 752 2729 351 9730 11859 6761 2863 1752
"PBANKA_1123600" 385 172 175 325 64 871 930 1181 1163 1616
"PBANKA_1123700" 26 18 13 28 1 10 19 38 29 48
"PBANKA_1123800" 110 59 23 129 8 17 26 54 38 21
"PBANKA_1123900" 528 178 229 515 70 1075 913 1167 1399 1347
"PBANKA_1124000" 385 122 98 323 20 87 135 146 172 105
"PBANKA_1124100" 52 33 30 55 3 188 229 287 230 178
"PBANKA_1124200" 144 55 64 127 13 320 306 362 309 228
"PBANKA_1124300" 198 77 125 225 31 695 754 934 739 644
"PBANKA_1124400" 62 23 42 99 4 152 143 211 192 196
"PBANKA_1124500" 559 204 224 597 43 1196 1144 1220 1161 738
"PBANKA_1124600" 178 70 65 167 31 304 273 445 385 560
"PBANKA_1124700" 35 13 8 40 3 9 9 8 12 5
"PBANKA_1124800" 158 99 77 198 19 869 855 824 666 365
"PBANKA_1124900" 849 323 287 719 153 1547 1249 1404 1395 1512
"PBANKA_1125000" 43 18 30 103 7 218 175 174 108 43
"PBANKA_1125100" 10 2 2 14 3 16 15 48 63 39
"PBANKA_1125200" 50 15 13 60 0 41 99 206 122 122
"PBANKA_1125300" 76 28 33 88 8 67 103 74 43 42
"PBANKA_1125400" 33 12 24 39 1 64 82 82 92 81
"PBANKA_1125500" 1140 454 494 1101 266 2404 2141 2320 2432 2508
"PBANKA_1125600" 29978 13297 10601 20972 6292 35536 32282 28293 32346 30295
"PBANKA_1125700" 514 193 239 608 55 1691 1745 2141 1497 1536
"PBANKA_1125800" 14 10 5 14 0 3 10 12 17 3
"PBANKA_1125900" 2047 484 397 1303 181 2262 2701 2307 1420 1030
"PBANKA_1126000" 1087 342 423 894 145 2759 2612 2798 2613 2031
"PBANKA_1126100" 198 86 139 165 27 605 474 597 520 664
"PBANKA_1126200" 3106 1309 1075 2282 586 6120 5509 6367 7665 10309
"PBANKA_1126300" 280 109 108 329 27 462 695 672 517 524
"PBANKA_1126400" 2568 823 916 2161 347 6662 6303 6411 6352 4909
"PBANKA_1126500" 3537 1286 1309 3104 577 7683 7722 8131 6883 6348
"PBANKA_1126600" 639 232 282 578 93 1613 1599 2065 1928 2320
"PBANKA_1126700" 223 103 97 179 51 267 247 304 356 491
"PBANKA_1126800" 788 183 76 372 43 80 115 123 97 153
"PBANKA_1126900" 2284 537 513 1426 276 4033 4138 2408 1417 678
"PBANKA_1127000" 9402 4032 4189 7728 1500 22467 20250 27437 32545 36486
"PBANKA_1127100" 11 2 2 11 0 3 17 15 23 4
"PBANKA_1127200" 38 11 10 35 1 52 52 56 31 20
"PBANKA_1127300" 258 103 128 336 42 726 739 946 646 575
"PBANKA_1127400" 123 66 115 178 18 316 444 437 391 198
"PBANKA_1127500" 262 80 131 295 21 876 1005 1000 756 589
"PBANKA_1127600" 23 2 2 12 2 52 64 69 47 22
"PBANKA_1127700" 2642 1063 1281 2531 387 5272 4928 4822 5164 2804
"PBANKA_1127800" 2555 1045 1084 2234 388 5757 4972 5896 5835 7257
"PBANKA_1127900" 319 120 96 285 36 1079 1142 1134 839 420
"PBANKA_1128100" 305 77 63 169 26 210 248 332 287 283
"PBANKA_1128200" 827 246 369 859 61 3140 3169 3472 2989 1309
"PBANKA_1128300" 721 197 314 730 110 1228 1381 1428 1199 788
"PBANKA_1128400" 53 23 27 54 9 128 162 161 194 142
"PBANKA_1128500" 1528 338 288 917 79 2295 2779 1552 1040 810
"PBANKA_1128600" 228 66 82 256 24 527 540 520 351 243
"PBANKA_1128700" 408 181 182 429 49 837 894 868 964 840
"PBANKA_1128800" 1486 724 351 935 228 210 321 453 495 770
"PBANKA_1128900" 156 55 64 204 30 230 169 265 315 244
"PBANKA_1129000" 1183 416 251 742 111 55 101 179 182 205
"PBANKA_1129100" 690 163 86 445 61 1022 1272 945 433 595
"PBANKA_1129200" 2 0 1 14 0 11 8 18 23 13
"PBANKA_1129300" 187 96 92 189 25 362 419 506 570 397
"PBANKA_1129400" 611 160 185 527 63 1559 1468 1717 1180 1304
"PBANKA_1129500" 25 12 3 22 4 122 112 98 69 30
"PBANKA_1129600" 29 23 22 76 2 34 24 17 15 5
"PBANKA_1129700" 254 99 134 335 44 520 533 648 721 392
"PBANKA_1129800" 400 129 78 345 35 63 100 129 154 132
"PBANKA_1129900" 259 98 58 301 31 695 716 613 315 248
"PBANKA_1130000" 313 109 101 259 32 885 1045 1122 640 476
"PBANKA_1130100" 259 129 107 274 31 483 462 485 551 681
"PBANKA_1130200" 598 293 267 547 112 1784 1669 2144 2476 2865
"PBANKA_1130300" 473 175 195 417 75 963 936 1063 1309 859
"PBANKA_1130400" 3633 1599 1300 2840 754 6313 5750 6620 8111 12503
"PBANKA_1130500" 3386 1572 1465 2721 695 8014 7793 9401 10052 14337
"PBANKA_1130600" 0 1 3 16 1 2 3 5 1 0
"PBANKA_1130700" 245 108 137 302 36 709 626 825 632 629
"PBANKA_1130800" 378 142 152 379 56 1280 1306 1541 1136 897
"PBANKA_1130900" 1277 365 318 1166 101 2680 3118 2957 1333 691
"PBANKA_1131000" 1099 512 408 857 259 3053 2668 3355 4406 5473
"PBANKA_1131100" 849 314 327 709 145 1821 1638 1780 2169 2053
"PBANKA_1131200" 70 28 35 90 4 186 239 284 205 172
"PBANKA_1131300" 9 4 2 7 1 11 12 32 20 16
"PBANKA_1131400" 205 124 112 359 17 37 72 62 65 54
"PBANKA_1131500" 421 96 119 369 41 694 746 1007 770 770
"PBANKA_1131600" 1302 363 323 880 193 1638 2026 2274 1817 2514
"PBANKA_1131700" 104 38 51 108 6 265 245 249 266 161
"PBANKA_1131800" 144 68 71 210 19 194 193 157 255 111
"PBANKA_1131900" 1094 333 390 1005 62 2621 3093 2834 2714 1209
"PBANKA_1132000" 417 92 87 291 49 641 813 787 534 453
"PBANKA_1132100" 365 218 154 280 111 720 628 761 1060 1319
"PBANKA_1132200" 139 68 55 102 16 282 310 431 446 458
"PBANKA_1132300" 381 110 67 315 14 64 118 109 99 63
"PBANKA_1132400" 250 66 65 229 27 903 936 1156 646 594
"PBANKA_1132500" 472 261 259 473 119 1116 1214 1220 1657 1390
"PBANKA_1132600" 1210 487 447 925 286 2260 1876 2108 2620 4058
"PBANKA_1132700" 232 57 59 177 21 533 751 742 319 380
"PBANKA_1132800" 65 38 14 67 15 3 13 4 8 9
"PBANKA_1132900" 367 150 153 291 75 779 745 824 948 837
"PBANKA_1133000" 206 46 103 225 19 459 419 582 515 465
"PBANKA_1133100" 456 87 41 239 17 56 110 46 32 7
"PBANKA_1133200" 748 325 325 580 144 1888 1565 1592 2035 2257
"PBANKA_1133300" 4742 2026 2031 4023 657 7054 6500 6989 8126 9176
"PBANKA_1133400" 5715 2712 2444 4740 1041 8566 8272 8208 9712 8878
"PBANKA_1133500" 385 150 231 579 63 1022 1037 1132 1119 845
"PBANKA_1133600" 3 15 4 12 0 12 5 10 18 9
"PBANKA_1133700" 461 136 194 480 24 1205 1387 1098 598 424
"PBANKA_1133800" 340 130 103 318 42 834 735 775 588 489
"PBANKA_1133900" 263 99 119 241 47 906 861 1254 931 1039
"PBANKA_1134000" 482 148 162 539 37 1750 1907 1845 936 415
"PBANKA_1134100" 11811 4953 4112 8109 2249 22848 18845 18249 20313 19365
"PBANKA_1134200" 1137 474 425 926 250 1450 1276 1417 1657 1834
"PBANKA_1134300" 76 15 28 128 1 211 194 211 118 51
"PBANKA_1134400" 873 344 258 868 108 2175 2623 2456 1502 771
"PBANKA_1134500" 139 22 33 105 6 380 474 439 228 152
"PBANKA_1134600" 4 1 5 3 0 5 35 34 17 15
"PBANKA_1134700" 67 26 34 83 8 305 285 477 402 377
"PBANKA_1134800" 696 293 318 709 123 1263 1336 1403 1546 976
"PBANKA_1134900" 5027 1365 717 3116 307 104 537 310 187 168
"PBANKA_1135000" 753 403 436 1246 63 2120 2586 3248 2574 1763
"PBANKA_1135100" 3461 1964 1840 4063 808 7572 7311 8220 10130 9078
"PBANKA_1135200" 1846 850 732 1446 399 3465 2996 3558 4023 4698
"PBANKA_1135300" 367 135 113 337 45 992 1183 929 493 228
"PBANKA_1135400" 555 260 276 524 96 1704 1643 1887 1861 1471
"PBANKA_1135500" 534 251 217 427 96 702 790 1173 1143 2101
"PBANKA_1135600" 1182 369 412 950 140 3557 3238 3273 2359 1905
"PBANKA_1135700" 7432 2986 2972 5960 1235 14236 13690 14494 16599 13825
"PBANKA_1135800" 38 9 15 61 7 28 40 47 35 28
"PBANKA_1135900" 70 19 19 44 5 89 105 102 61 30
"PBANKA_1136000" 0 4 2 4 0 10 7 28 37 18
"PBANKA_1136100" 826 229 163 702 97 2110 2272 1720 824 411
"PBANKA_1136200" 818 339 325 648 115 1987 1861 2675 2454 4085
"PBANKA_1136300" 646 326 300 622 101 1568 1652 1948 2598 1837
"PBANKA_1136400" 1127 517 394 911 226 2681 2398 3182 3469 5084
"PBANKA_1136500" 71 43 33 144 4 161 177 227 196 207
"PBANKA_1136600" 57 23 37 97 4 202 231 233 177 135
"PBANKA_1136700" 311 102 42 201 18 102 111 135 112 88
"PBANKA_1136900" 671 320 307 698 82 2247 2478 2936 2519 1867
"PBANKA_1137000" 5225 1739 1580 4040 669 9552 10062 9330 6202 4855
"PBANKA_1137100" 406 126 197 543 57 1268 1114 1229 1224 650
"PBANKA_1137200" 6596 2680 2439 5032 1191 14572 12859 15577 14377 17385
"PBANKA_1137300" 1313 351 293 1109 106 3045 3480 2551 1065 733
"PBANKA_1137400" 541 223 166 477 91 138 177 215 254 223
"PBANKA_1137500" 80 38 32 61 7 7 13 20 14 11
"PBANKA_1137600" 115 67 78 168 19 318 327 381 451 561
"PBANKA_1137700" 898 386 323 592 207 1648 1367 1914 2414 4142
"PBANKA_1137800" 5554 1103 904 3037 563 7092 8020 7163 3335 4628
"PBANKA_1137900" 2762 973 923 2081 386 4920 5411 7432 6832 11988
"PBANKA_1138000" 509 207 162 316 122 1140 1009 1400 1365 2459
"PBANKA_1138100" 77 39 39 91 17 84 74 66 51 86
"PBANKA_1138200" 4382 1796 1495 3007 707 5240 4803 5018 6110 5337
"PBANKA_1138300" 382 229 220 494 50 846 1049 1132 1322 1012
"PBANKA_1138400" 1041 288 269 780 118 2286 2578 1871 992 542
"PBANKA_1138500" 83 27 30 95 13 166 135 196 147 136
"PBANKA_1138600" 1099 426 285 855 129 497 501 531 647 566
"PBANKA_1138700" 568 176 124 588 72 1508 1576 755 281 181
"PBANKA_1138800" 53 43 19 57 4 116 94 167 147 88
"PBANKA_1138900" 741 245 119 472 32 26 119 87 71 47
"PBANKA_1139000" 139 48 46 149 8 485 524 485 224 133
"PBANKA_1139100" 148 38 65 220 13 550 705 815 548 367
"PBANKA_1139200" 97 49 64 134 22 245 208 298 223 271
"PBANKA_1139300" 71 33 36 116 4 205 126 210 184 151
"PBANKA_1139400" 245 80 83 266 24 588 746 702 496 389
"PBANKA_1139500" 205 61 81 271 28 642 646 740 696 361
"PBANKA_1139600" 16 16 25 32 0 52 68 90 46 47
"PBANKA_1139700" 357 119 132 328 41 969 957 998 925 809
"PBANKA_1139800" 63 14 18 81 4 5 11 18 7 12
"PBANKA_1139900" 675 378 411 933 59 1899 2239 2548 2661 2076
"PBANKA_1140000" 214 56 78 190 16 519 491 676 566 384
"PBANKA_1140100" 1416 451 262 884 165 3859 3612 3443 2020 1638
"PBANKA_1140200" 450 145 162 449 53 1092 1106 1110 1010 584
"PBANKA_1140300" 567 195 142 524 56 1320 1443 1051 523 220
"PBANKA_1140400" 266 87 123 321 26 771 714 926 669 541
"PBANKA_1140500" 308 81 82 263 28 1024 1024 1103 511 358
"PBANKA_1140600" 2201 881 882 1664 361 4926 4487 5476 6406 5831
"PBANKA_1140700" 55 16 19 60 11 176 135 246 198 333
"PBANKA_1140800" 95 36 41 148 8 462 469 740 337 223
"PBANKA_1140900" 729 339 263 510 157 1532 1442 1766 1867 2333
"PBANKA_1141000" 114 40 81 155 6 280 315 433 356 242
"PBANKA_1141100" 101 40 66 78 2 498 555 672 482 264
"PBANKA_1141200" 17 12 14 25 0 145 158 156 122 64
"PBANKA_1141300" 328 125 129 325 27 815 709 747 676 762
"PBANKA_1141400" 149 55 36 102 27 75 72 87 52 73
"PBANKA_1141500" 352 179 158 354 79 721 723 1008 1012 1047
"PBANKA_1141600" 93 54 76 175 17 460 451 566 509 231
"PBANKA_1141700" 9634 4905 3869 6675 2096 13298 11932 13422 21292 23638
"PBANKA_1141800" 157 56 76 129 28 335 371 427 537 453
"PBANKA_1141900" 22 16 6 17 2 76 52 59 68 5
"PBANKA_1142000" 71 21 47 80 2 60 40 50 71 47
"PBANKA_1142100" 294 138 117 337 31 887 1034 1036 689 421
"PBANKA_1142300" 442 154 124 388 53 1417 1443 1773 1336 827
"PBANKA_1142400" 331 142 119 305 68 557 546 720 927 1591
"PBANKA_1142500" 454 236 185 483 78 830 853 935 994 761
"PBANKA_1142600" 43 22 23 22 1 131 136 169 135 135
"PBANKA_1142700" 618 296 304 759 74 1151 1297 1739 1914 1723
"PBANKA_1142800" 4084 1268 1342 3457 527 7285 7504 7419 5334 3529
"PBANKA_1142900" 1129 472 444 962 176 2163 2062 2676 2657 3167
"PBANKA_1143000" 1532 685 567 1196 259 3160 3172 2891 2713 2062
"PBANKA_1143100" 19 9 7 22 0 9 30 21 6 0
"PBANKA_1143200" 19 7 13 31 2 31 39 56 52 29
"PBANKA_1143300" 237 94 84 245 12 771 938 1082 784 390
"PBANKA_1143400" 225 91 71 282 25 28 51 85 44 31
"PBANKA_1143500" 559 288 291 592 58 915 1083 1497 1750 1021
"PBANKA_1143600" 4421 1429 1143 3373 544 6676 6793 5017 3006 1852
"PBANKA_1143700" 129 37 22 54 8 25 27 16 7 12
"PBANKA_1143800" 164 77 41 174 13 110 157 224 246 208
"PBANKA_1143900" 0 0 0 0 0 113 177 309 257 258
"PBANKA_1144000" 3337 1712 1468 2709 771 4819 4775 5666 6154 9201
"PBANKA_1144100" 1718 718 694 1569 230 4415 4454 5130 4357 3880
"PBANKA_1144200" 187 69 71 257 26 612 490 715 689 650
"PBANKA_1144300" 187 44 92 195 26 453 463 621 558 502
"PBANKA_1144400" 287 101 128 398 33 750 853 938 730 484
"PBANKA_1144500" 245 98 96 231 45 619 481 732 607 755
"PBANKA_1144600" 273 114 169 335 47 674 653 776 744 523
"PBANKA_1144700" 560 175 134 465 72 1586 1638 1178 402 399
"PBANKA_1144800" 690 264 250 473 70 1330 1374 1905 1882 2581
"PBANKA_1144900" 110 36 45 140 20 194 208 236 221 224
"PBANKA_1145000" 67 20 15 65 1 102 100 126 76 79
